journal_nlm_id	delay_type	slope	slope_as_percent	p_value
0370307	Acceptance	   7.14702	   8.69109	 8.07e-05
0370307	Publication	 -30.22900	 -27.60376	 2.64e-47
0370320	Acceptance	  -5.35073	  -6.46780	 1.29e-17
0370320	Publication	  -6.90252	 -13.47439	 2.55e-68
0370336	Publication	   3.64315	   8.05469	 1.66e-02
0370343	Acceptance	 -20.58639	 -11.26030	 2.37e-05
0370343	Publication	  -4.03622	  -9.75053	 5.27e-09
0370364	Publication	  -7.37825	 -20.36145	 1.33e-17
0370366	Acceptance	   1.93436	   0.89651	 6.55e-02
0370366	Publication	  -3.56693	  -9.41862	 1.14e-61
0370374	Acceptance	  -7.26625	  -4.24500	 1.09e-22
0370374	Publication	  -2.97425	 -17.60859	 4.82e-45
0370400	Acceptance	   5.18700	   3.31647	 7.84e-05
0370400	Publication	   2.46849	  33.92709	 1.52e-45
0370465	Acceptance	  -1.85406	  -1.35801	 1.01e-03
0370465	Publication	  -7.65093	 -16.09972	2.82e-145
0370467	Acceptance	  -4.81561	  -4.15919	 8.63e-01
0370467	Publication	  42.04329	 105.31659	 1.43e-07
0370473	Acceptance	   1.91337	   1.82268	 3.51e-07
0370473	Publication	 -23.38126	 -16.55292	2.78e-179
0370475	Acceptance	   1.36396	   1.83898	 4.53e-16
0370475	Publication	  -0.75423	  -1.97497	 4.49e-12
0370476	Acceptance	  -4.89038	  -3.91377	 1.59e-81
0370476	Publication	 -13.06454	 -33.29336	 0.00e+00
0370500	Acceptance	   0.68034	   0.56406	 8.13e-02
0370500	Publication	  -5.87984	  -9.76911	1.38e-116
0370502	Acceptance	  -7.92420	  -5.35401	 5.76e-11
0370502	Publication	  -0.65698	  -1.18207	 3.42e-02
0370507	Acceptance	 -17.20024	 -12.70077	 3.90e-01
0370507	Publication	   1.68141	   2.62010	 8.16e-01
0370524	Publication	  -0.68986	  -1.12989	 6.81e-01
0370525	Acceptance	  -0.31637	  -0.26208	 9.04e-01
0370525	Publication	  -3.07985	  -5.73640	 3.26e-03
0370534	Acceptance	  -0.23968	  -0.25061	 2.89e-01
0370534	Publication	  -0.07339	  -0.69529	 7.17e-02
0370535	Acceptance	   0.97587	   1.25205	 1.92e-05
0370535	Publication	  -0.79588	  -6.89172	 6.69e-48
0370550	Acceptance	  -4.42231	  -5.36227	 1.50e-01
0370605	Acceptance	  16.34917	   8.05510	 2.00e-01
